id,section,section_vi,japanese,reading,vietnamese,usage,level,example_jp,example_vi
v001,1.1,Chào hỏi & Giao tiếp hàng ngày,おはようございます,ohayou gozaimasu,Chào buổi sáng (lịch sự),"Đến công ty, gặp đồng nghiệp đầu ngày",J5,おはようございます。今日もよろしくお願いします。,Chào buổi sáng. Hôm nay cũng nhờ giúp đỡ.
v002,1.1,Chào hỏi & Giao tiếp hàng ngày,お疲れ様です,otsukaresama desu,Anh/chị vất vả rồi,"Chào trong ngày, mở đầu email nội bộ",J5,お疲れ様です。先日の件についてご相談があります。,Vất vả rồi. Có việc muốn trao đổi.
v003,1.1,Chào hỏi & Giao tiếp hàng ngày,お先に失礼します,osaki ni shitsurei shimasu,Xin phép về trước,Rời công ty trước đồng nghiệp,J5,お先に失礼します。お疲れ様でした。,Xin phép về trước.
v004,1.1,Chào hỏi & Giao tiếp hàng ngày,いつもお世話になっております,itsumo osewa ni natte orimasu,Luôn nhận được sự giúp đỡ,Mở đầu email/điện thoại với bên ngoài,J4,いつもお世話になっております。ABC株式会社の田中でございます。,Cảm ơn sự hỗ trợ. Tôi là Tanaka từ ABC.
v005,1.1,Chào hỏi & Giao tiếp hàng ngày,よろしくお願いいたします,yoroshiku onegai itashimasu,Nhờ giúp đỡ (rất lịch sự),"Kết thúc email, yêu cầu",J5,今後ともよろしくお願いいたします。,Mong được giúp đỡ.
v006,1.1,Chào hỏi & Giao tiếp hàng ngày,失礼いたします,shitsurei itashimasu,Xin phép (vào/rời phòng),"Vào phòng sếp, rời chỗ, cúp điện thoại",J5,失礼いたします。書類をお持ちしました。,Xin phép. Tôi mang tài liệu.
v007,1.1,Chào hỏi & Giao tiếp hàng ngày,かしこまりました,kashikomarimashita,Vâng ạ (rất lịch sự),Nhận lệnh từ sếp hoặc khách,J4,かしこまりました。すぐに対応いたします。,Vâng ạ. Xử lý ngay.
v008,1.1,Chào hỏi & Giao tiếp hàng ngày,承知いたしました,shouchi itashimashita,Tôi đã hiểu/ghi nhận,Xác nhận đã nhận thông tin,J4,承知いたしました。明日までに提出いたします。,Đã ghi nhận. Nộp trước ngày mai.
v009,1.1,Chào hỏi & Giao tiếp hàng ngày,恐れ入りますが,osore irimasu ga,Xin phép hỏi / Xin lỗi nhưng...,Mở đầu yêu cầu lịch sự,J3,恐れ入りますが、お名前をもう一度お伺いしてもよろしいでしょうか。,"Xin lỗi, cho tôi hỏi lại tên?"
v010,1.1,Chào hỏi & Giao tiếp hàng ngày,申し訳ございません,moushiwake gozaimasen,Xin lỗi (rất lịch sự),"Xin lỗi khách hàng, sếp",J4,大変申し訳ございません。すぐに確認いたします。,Vô cùng xin lỗi. Xác nhận ngay.
v011,1.1,Chào hỏi & Giao tiếp hàng ngày,お手数をおかけしますが,otesuu wo okake shimasu ga,Phiền anh/chị nhưng...,Nhờ người khác làm việc,J3,お手数をおかけしますが、ご確認いただけますでしょうか。,Phiền anh/chị xác nhận giúp?
v012,1.1,Chào hỏi & Giao tiếp hàng ngày,ご迷惑をおかけして,gomeiwaku wo okake shite,Gây phiền toái,Xin lỗi về sự bất tiện,J3,ご迷惑をおかけして申し訳ございません。,Xin lỗi vì gây phiền toái.
v013,1.2,Chức vụ & Tổ chức,会長,kaichou,Chủ tịch HĐQT,Người đứng đầu (danh dự),J3,会長がご挨拶されます。,Chủ tịch sẽ phát biểu.
v014,1.2,Chức vụ & Tổ chức,社長,shachou,Giám đốc / CEO,Người điều hành cao nhất,J5,社長にご報告いたします。,Báo cáo giám đốc.
v015,1.2,Chức vụ & Tổ chức,副社長,fukushachou,Phó giám đốc,Vice president,J4,副社長が出席されます。,Phó GĐ sẽ tham dự.
v016,1.2,Chức vụ & Tổ chức,専務,senmu,GĐ điều hành cấp cao,Senior Managing Director,J3,専務にご確認ください。,Xin xác nhận với chuyên vụ.
v017,1.2,Chức vụ & Tổ chức,常務,joumu,GĐ điều hành,Managing Director,J3,常務が承認されました。,Thường vụ đã phê duyệt.
v018,1.2,Chức vụ & Tổ chức,取締役,torishimariyaku,Thành viên HĐQT,Board member,J3,取締役会議が開催されます。,Họp HĐQT sẽ tổ chức.
v019,1.2,Chức vụ & Tổ chức,部長,buchou,Trưởng phòng,Department manager,J5,部長に報告いたします。,Báo cáo trưởng phòng.
v020,1.2,Chức vụ & Tổ chức,次長,jichou,Phó phòng,Deputy dept manager,J4,次長が代理で出席します。,Phó phòng dự thay.
v021,1.2,Chức vụ & Tổ chức,課長,kachou,Trưởng ban,Section chief,J5,課長、お時間よろしいでしょうか。,"Trưởng ban, có rảnh không ạ?"
v022,1.2,Chức vụ & Tổ chức,係長,kakarichou,Tổ trưởng,Subsection chief,J4,係長に相談してみます。,Trao đổi với tổ trưởng.
